Reference,Transit Account #,Trip Time,Mode,Location,Product Type,Fare Amount ($)
55501089,573091239506,2022-04-14 09:28:49,Subway,Sutter Av,Stored Value,$2.75
55425021,450293034846,2022-04-13 20:09:30,Subway,Metropolitan Av / Lorimer St,Stored Value,$2.75
55429144,573091239506,2022-04-13 20:09:28,Subway,Metropolitan Av / Lorimer St,Stored Value,$2.75
55422083,573091239506,2022-04-13 18:02:04,Subway,Sutter Av,Stored Value,$2.75
55422729,450293034846,2022-04-13 18:02:01,Subway,Sutter Av,Stored Value,$2.75
54917207,450293034846,2022-04-10 15:13:40,Subway,Union St,Stored Value,$2.75
54916332,573091239506,2022-04-10 15:13:37,Subway,Union St,Stored Value,$2.75
54708334,450293034846,2022-04-08 19:49:23,Subway,Rector St,Stored Value,$2.75
54716296,573091239506,2022-04-08 19:49:22,Subway,Rector St,Stored Value,$2.75
54654388,450293034846,2022-04-08 13:01:31,Subway,Sutter Av,Stored Value,$2.75
53873017,573091239506,2022-04-02 21:02:52,Subway,Woodside - 61 St,Stored Value,$2.75
53872439,450293034846,2022-04-02 21:02:49,Subway,Woodside - 61 St,Stored Value,$2.75
53789098,450293034846,2022-04-02 10:23:15,Subway,Sutter Av,Stored Value,$2.75
53295621,573091239506,2022-03-31 18:33:01,Subway,Bergen St,Stored Value,$2.75
53279846,573091239506,2022-03-31 17:51:58,Subway,Sutter Av,Stored Value,$2.75
52319256,450293034846,2022-03-26 17:23:56,Subway,Fulton St,Stored Value,$2.75
52319252,573091239506,2022-03-26 17:23:50,Subway,Fulton St,Stored Value,$2.75
47491658,573091239506,2022-03-07 13:57:03,Subway,Fulton St,Stored Value,$2.75
47489815,450293034846,2022-03-07 13:57:03,Subway,Fulton St,Stored Value,$2.75
47336792,573091239506,2022-03-05 18:54:26,Subway,Bergen St,Stored Value,$2.75
47335824,450293034846,2022-03-05 18:54:25,Subway,Bergen St,Stored Value,$2.75
46963902,450293034846,2022-03-04 16:28:03,Subway,2 Av,Stored Value,$2.75
46962852,573091239506,2022-03-04 16:28:02,Subway,2 Av,Stored Value,$2.75
46948175,450293034846,2022-03-04 13:43:22,Subway,Broad St,Stored Value,$2.75
46945682,573091239506,2022-03-04 13:43:21,Subway,Broad St,Stored Value,$2.75
19295964,573091239506,2021-10-23 13:13:21,Subway,Sutter Av,Stored Value,$2.75
