Reference,Transit Account #,Trip Time,Mode,Location,Product Type,Fare Amount ($)
72918287,450293034846,2022-08-15 20:53:00,Subway,86 St,Stored Value,$2.75
72918930,573091239506,2022-08-15 20:52:59,Subway,86 St,Stored Value,$2.75
72913846,450293034846,2022-08-15 19:44:01,Subway,36 Av,Stored Value,$2.75
72912192,573091239506,2022-08-15 19:43:59,Subway,36 Av,Stored Value,$2.75
72539294,450293034846,2022-08-12 14:18:41,Subway,Rector St,Stored Value,$2.75
72539984,573091239506,2022-08-12 14:18:38,Subway,Rector St,Stored Value,$2.75
72530695,573091239506,2022-08-12 13:08:53,Subway,4 Av - 9 St,Stored Value,$2.75
72530695,450293034846,2022-08-12 13:08:53,Subway,4 Av - 9 St,Stored Value,$2.75
72516429,450293034846,2022-08-12 10:27:45,Subway,21 St - Queensbridge,Free Transfer,$0.00
72517052,573091239506,2022-08-12 10:27:44,Subway,21 St - Queensbridge,Free Transfer,$0.00
72514619,450293034846,2022-08-12 10:17:39,Bus,Q69,Stored Value,$2.75
72516244,573091239506,2022-08-12 10:17:35,Bus,Q69,Stored Value,$2.75
72366712,450293034846,2022-08-11 09:23:28,Subway,7 Av,Stored Value,$2.75
72366711,573091239506,2022-08-11 09:23:27,Subway,7 Av,Stored Value,$2.75
71995211,450293034846,2022-08-09 12:24:45,Bus,B61,Stored Value,$2.75
71998001,573091239506,2022-08-09 12:24:43,Bus,B61,Stored Value,$2.75
71986729,450293034846,2022-08-09 10:39:06,Bus,B61,Stored Value,$2.75
71986728,573091239506,2022-08-09 10:39:03,Bus,B61,Stored Value,$2.75
71788068,573091239506,2022-08-07 17:53:36,Subway,Times Sq - 42 St / Port Authority Bus Terminal,Free Trip – Weekly Fare Cap,$0.00
71778009,573091239506,2022-08-07 16:22:53,Subway,Queensboro Plaza,Free Trip – Weekly Fare Cap,$0.00
71776757,573091239506,2022-08-07 16:09:38,Bus,Q100,Free Transfer,$0.00
71766637,573091239506,2022-08-07 14:46:54,Subway,7 Av,Free Trip – Weekly Fare Cap,$0.00
71745491,573091239506,2022-08-07 10:44:23,Subway,36 Av,Free Trip – Weekly Fare Cap,$0.00
71741914,573091239506,2022-08-07 08:58:52,Subway,7 Av,Free Trip – Weekly Fare Cap,$0.00
71661761,573091239506,2022-08-06 12:41:03,Subway,2 Av,Free Trip – Weekly Fare Cap,$0.00
71655332,573091239506,2022-08-06 12:04:48,Subway,7 Av,Free Trip – Weekly Fare Cap,$0.00
71639660,573091239506,2022-08-06 09:01:19,Subway,36 Av,Free Trip – Weekly Fare Cap,$0.00
69996627,450293034846,2022-07-24 16:04:31,Subway,14 St / 8 Av,Stored Value,$2.75
69993189,573091239506,2022-07-24 16:04:29,Subway,14 St / 8 Av,Free Trip – Weekly Fare Cap,$0.00
69993188,573091239506,2022-07-24 14:08:58,Subway,34 St - Penn Station,Stored Value,$2.75
60476484,450293034846,2022-05-15 12:36:14,Subway,7 Av,Stored Value,$2.75
59816871,450293034846,2022-05-13 22:11:39,Subway,25 St,Stored Value,$2.75
59815705,573091239506,2022-05-13 22:11:35,Subway,25 St,Stored Value,$2.75
59793417,450293034846,2022-05-13 18:10:19,Subway,4 Av - 9 St,Stored Value,$2.75
59791568,573091239506,2022-05-13 18:10:16,Subway,4 Av - 9 St,Stored Value,$2.75
59138057,450293034846,2022-05-08 18:54:06,Subway,34 St - Penn Station,Stored Value,$2.75
59139047,573091239506,2022-05-08 18:54:04,Subway,34 St - Penn Station,Stored Value,$2.75
59127703,573091239506,2022-05-08 17:16:27,Subway,7 Av,Stored Value,$2.75
52300806,573091239506,2022-03-26 14:45:16,Subway,7 Av,Stored Value,$2.75
52292551,450293034846,2022-03-26 14:45:15,Subway,7 Av,Stored Value,$2.75
50476491,450293034846,2022-03-19 14:18:08,Subway,7 Av,Stored Value,$2.75
50478332,573091239506,2022-03-19 14:18:07,Subway,7 Av,Stored Value,$2.75
